,ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,second_taste,third_taste,fourth_taste,country_of_bean_origin_latitude,country_of_bean_origin_longitude
0,2454,5150,U.S.A,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa,blackberry,full body,,-19.272394,46.698433
1,2458,5150,U.S.A,2019,Dominican Republic,"Zorzal, batch 1",76.0,3.5,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa,vegetal,savory,,19.019825,-70.792854
2,2454,5150,U.S.A,2019,United Republic of Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,rich cocoa,fatty,bready,,-6.306897,34.853928
3,797,A. Morin,France,2012,Peru,Peru,63.0,3.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,fruity,melon,roasty,,-9.803302,-75.22187
4,797,A. Morin,France,2012,Bolivia,Bolivia,70.0,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,vegetal,nutty,,,-16.713055,-64.66665
5,1015,A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,oily,nut,caramel,raspberry,7.6653886,-66.14542
6,1019,A. Morin,France,2013,Peru,Chanchamayo Province,63.0,4.0,3,have_bean,have_cocoa_butter,have_not_vanila,have_not_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sweet,cocoa,tangerine,,-9.803302,-75.22187
7,1011,A. Morin,France,2013,Ecuador,Equateur,70.0,3.75,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,sandy,nutty,cocoa,fig,-1.4215289,-78.87104
8,1019,A. Morin,France,2013,Peru,Chanchamayo Province,70.0,3.5,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,cocoa,sour,intense tangerine,,-9.803302,-75.22187
9,1011,A. Morin,France,2013,Brazil,Brazil,70.0,3.25,4,have_bean,have_cocoa_butter,have_not_vanila,have_lecithin,have_not_salt,have_sugar,have_not_sweetener_without_sugar,mild tobacco,,,,-10.8104515,-52.973118
